"audience_name","event_date","user_id","raw_value"
Novo Cashback - 16/12,2024-12-17,156862473,20.00
Novo Cashback - 16/12,2024-12-17,156830825,15.00
Novo Cashback - 16/12,2024-12-17,43210028,15.00
Novo Cashback - 16/12,2024-12-17,153099590,50.00
Novo Cashback - 16/12,2024-12-17,151362578,30.00
Novo Cashback - 16/12,2024-12-17,152139847,30.00
Novo Cashback - 16/12,2024-12-17,43862548,30.00
Novo Cashback - 16/12,2024-12-17,148984039,30.00
Novo Cashback - 16/12,2024-12-17,156396664,15.00
Novo Cashback - 16/12,2024-12-17,149690307,5.00
Novo Cashback - 16/12,2024-12-17,156577351,50.00
Novo Cashback - 16/12,2024-12-17,149541528,200.00
Novo Cashback - 16/12,2024-12-17,43384402,200.00
Novo Cashback - 16/12,2024-12-17,149306821,15.00
Novo Cashback - 16/12,2024-12-17,148348887,10.00
Novo Cashback - 16/12,2024-12-17,156755642,100.00
Novo Cashback - 16/12,2024-12-17,44038451,30.00
Novo Cashback - 16/12,2024-12-17,72951758,10.00
Novo Cashback - 16/12,2024-12-17,156864386,30.00
Novo Cashback - 16/12,2024-12-17,60659384,30.00
Novo Cashback - 16/12,2024-12-17,118669284,20.00
Novo Cashback - 16/12,2024-12-17,149713280,15.00
Novo Cashback - 16/12,2024-12-17,148537693,100.00
Novo Cashback - 16/12,2024-12-17,101512493,98.00
Novo Cashback - 16/12,2024-12-17,43290600,40.00
Novo Cashback - 16/12,2024-12-17,154055383,30.00
Novo Cashback - 16/12,2024-12-17,43175615,50.00
Novo Cashback - 16/12,2024-12-17,148542568,30.00
Novo Cashback - 16/12,2024-12-17,44515337,200.00
Novo Cashback - 16/12,2024-12-17,43286345,10.00
Novo Cashback - 16/12,2024-12-17,153962084,100.00
Novo Cashback - 16/12,2024-12-17,43174178,10.00
Novo Cashback - 16/12,2024-12-17,114184157,10.00
Novo Cashback - 16/12,2024-12-17,55383673,50.00
Novo Cashback - 16/12,2024-12-17,145685045,20.00
Novo Cashback - 16/12,2024-12-17,134180312,10.00
Novo Cashback - 16/12,2024-12-17,130984787,25.00
Novo Cashback - 16/12,2024-12-17,156891917,10.00
Novo Cashback - 16/12,2024-12-17,153257794,100.00
Novo Cashback - 16/12,2024-12-17,149287556,52.00
Novo Cashback - 16/12,2024-12-17,148473951,100.00
Novo Cashback - 16/12,2024-12-17,149132698,50.00
Novo Cashback - 16/12,2024-12-17,150187982,25.00
Novo Cashback - 16/12,2024-12-17,57283093,50.00
Novo Cashback - 16/12,2024-12-17,156573636,100.00
Novo Cashback - 16/12,2024-12-17,157042405,40.00
Novo Cashback - 16/12,2024-12-17,43216909,35.00
Novo Cashback - 16/12,2024-12-17,124345606,30.00
Novo Cashback - 16/12,2024-12-17,149544821,30.00
Novo Cashback - 16/12,2024-12-17,43191335,28.00
Novo Cashback - 16/12,2024-12-17,149716745,20.00
Novo Cashback - 16/12,2024-12-17,43209017,20.00
Novo Cashback - 16/12,2024-12-17,155012128,629.00
Novo Cashback - 16/12,2024-12-17,149900120,30.00
Novo Cashback - 16/12,2024-12-17,148286566,30.00
Novo Cashback - 16/12,2024-12-17,43260558,15.00
Novo Cashback - 16/12,2024-12-17,156575703,100.00
Novo Cashback - 16/12,2024-12-17,101047285,30.00
Novo Cashback - 16/12,2024-12-17,148581263,30.00
Novo Cashback - 16/12,2024-12-17,138630332,15.00
Novo Cashback - 16/12,2024-12-17,148140810,35.00
Novo Cashback - 16/12,2024-12-17,43232565,6.00
Novo Cashback - 16/12,2024-12-17,149964196,100.00
Novo Cashback - 16/12,2024-12-17,44101710,30.00
Novo Cashback - 16/12,2024-12-17,61246758,20.00
Novo Cashback - 16/12,2024-12-17,43279688,10.00
Novo Cashback - 16/12,2024-12-17,43216292,5.00
Novo Cashback - 16/12,2024-12-17,44171658,8.00
Novo Cashback - 16/12,2024-12-17,147914565,50.00
Novo Cashback - 16/12,2024-12-17,154324012,40.00
Novo Cashback - 16/12,2024-12-17,149539383,100.00
Novo Cashback - 16/12,2024-12-17,43278814,66.00
Novo Cashback - 16/12,2024-12-17,73045586,50.00
Novo Cashback - 16/12,2024-12-17,156590279,12.00
Novo Cashback - 16/12,2024-12-17,148767340,30.00
Novo Cashback - 16/12,2024-12-17,153334531,32.00
Novo Cashback - 16/12,2024-12-17,43170415,200.00
Novo Cashback - 16/12,2024-12-17,43211162,10.00
Novo Cashback - 16/12,2024-12-17,152239732,5.00
Novo Cashback - 16/12,2024-12-17,79355099,50.00
Novo Cashback - 16/12,2024-12-17,137630712,30.00
Novo Cashback - 16/12,2024-12-17,58842366,10.00
Novo Cashback - 16/12,2024-12-17,146615640,12.00
Novo Cashback - 16/12,2024-12-17,148542545,7.00
Novo Cashback - 16/12,2024-12-17,43194723,49.00
Novo Cashback - 16/12,2024-12-17,149449715,30.00
Novo Cashback - 16/12,2024-12-17,43539925,20.00
Novo Cashback - 16/12,2024-12-17,156704470,20.00
Novo Cashback - 16/12,2024-12-17,153072699,10.00
Novo Cashback - 16/12,2024-12-17,43218317,30.00
Novo Cashback - 16/12,2024-12-17,149640102,30.00
Novo Cashback - 16/12,2024-12-17,148294488,50.00
Novo Cashback - 16/12,2024-12-17,154610468,40.00
Novo Cashback - 16/12,2024-12-17,52344290,35.00
Novo Cashback - 16/12,2024-12-17,151910768,30.00
Novo Cashback - 16/12,2024-12-17,150721703,30.00
Novo Cashback - 16/12,2024-12-17,141791891,25.00
Novo Cashback - 16/12,2024-12-17,43168077,6.00
Novo Cashback - 16/12,2024-12-17,43232354,20.00
Novo Cashback - 16/12,2024-12-17,149255934,100.00
Novo Cashback - 16/12,2024-12-17,156115398,25.00
Novo Cashback - 16/12,2024-12-17,57493102,27.00
Novo Cashback - 16/12,2024-12-17,108547884,20.00
Novo Cashback - 16/12,2024-12-17,156150145,20.00
Novo Cashback - 16/12,2024-12-17,149091260,200.00
Novo Cashback - 16/12,2024-12-17,43197374,100.00
Novo Cashback - 16/12,2024-12-17,153383595,5.00
Novo Cashback - 16/12,2024-12-17,43287357,20.00
Novo Cashback - 16/12,2024-12-17,149204732,200.00
Novo Cashback - 16/12,2024-12-17,154967627,200.00
Novo Cashback - 16/12,2024-12-17,43186068,10.00
Novo Cashback - 16/12,2024-12-17,148571276,10.00
Novo Cashback - 16/12,2024-12-17,144450199,10.00
Novo Cashback - 16/12,2024-12-17,138150091,50.00
Novo Cashback - 16/12,2024-12-17,137189582,30.00
Novo Cashback - 16/12,2024-12-17,64869965,50.00
Novo Cashback - 16/12,2024-12-17,44252268,30.00
Novo Cashback - 16/12,2024-12-17,151938811,10.00
Novo Cashback - 16/12,2024-12-17,43309266,100.00
Novo Cashback - 16/12,2024-12-17,151542243,20.00
Novo Cashback - 16/12,2024-12-17,105994409,100.00
Novo Cashback - 16/12,2024-12-17,147065291,150.00
Novo Cashback - 16/12,2024-12-17,156861443,20.00
Novo Cashback - 16/12,2024-12-17,148735912,10.00
Novo Cashback - 16/12,2024-12-17,151345379,18.00
Novo Cashback - 16/12,2024-12-17,150683418,50.00
Novo Cashback - 16/12,2024-12-17,44075374,40.00
Novo Cashback - 16/12,2024-12-17,43212456,10.00
Novo Cashback - 16/12,2024-12-17,44440717,100.00
Novo Cashback - 16/12,2024-12-17,43860558,5.00
Novo Cashback - 16/12,2024-12-17,44376034,54.00
Novo Cashback - 16/12,2024-12-17,147928680,20.00
Novo Cashback - 16/12,2024-12-17,43167814,10.00
Novo Cashback - 16/12,2024-12-17,43319529,22.00
Novo Cashback - 16/12,2024-12-17,147479583,35.00
Novo Cashback - 16/12,2024-12-17,147431595,30.00
Novo Cashback - 16/12,2024-12-17,148538910,50.00
Novo Cashback - 16/12,2024-12-17,43295672,50.00
Novo Cashback - 16/12,2024-12-17,46895537,10.00
Novo Cashback - 16/12,2024-12-17,148736096,100.00
Novo Cashback - 16/12,2024-12-17,148696489,100.00
Novo Cashback - 16/12,2024-12-17,148679407,65.00
Novo Cashback - 16/12,2024-12-17,148605371,150.00
Novo Cashback - 16/12,2024-12-17,153433458,350.00
Novo Cashback - 16/12,2024-12-17,60602654,50.00
Novo Cashback - 16/12,2024-12-17,149646069,50.00
Novo Cashback - 16/12,2024-12-17,150138809,10.00
Novo Cashback - 16/12,2024-12-17,131578455,30.00
Novo Cashback - 16/12,2024-12-17,149550270,30.00
Novo Cashback - 16/12,2024-12-17,149628447,30.00
Novo Cashback - 16/12,2024-12-17,154285788,100.00
Novo Cashback - 16/12,2024-12-17,147495178,70.00
Novo Cashback - 16/12,2024-12-17,149031451,500.00
Novo Cashback - 16/12,2024-12-17,150853611,25.00
Novo Cashback - 16/12,2024-12-16,43199795,60.00
Novo Cashback - 16/12,2024-12-16,43250189,20.00
Novo Cashback - 16/12,2024-12-16,43176925,30.00
Novo Cashback - 16/12,2024-12-16,43199550,17.00
Novo Cashback - 16/12,2024-12-16,43182523,10.00
Novo Cashback - 16/12,2024-12-16,43293818,10.00
Novo Cashback - 16/12,2024-12-16,43199970,37.00
Novo Cashback - 16/12,2024-12-16,43234867,100.00
Novo Cashback - 16/12,2024-12-16,43206777,25.00
Novo Cashback - 16/12,2024-12-16,43281864,20.00
